chunk_id,parent_document_id,file_name,doc_type,page_number,source_path
doc_00015_chunk_000,doc_00015,NIST.CSWP.29.pdf,pdf,13.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00015_chunk_001,doc_00015,NIST.CSWP.29.pdf,pdf,13.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00015_chunk_002,doc_00015,NIST.CSWP.29.pdf,pdf,13.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00015_chunk_003,doc_00015,NIST.CSWP.29.pdf,pdf,13.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00016_chunk_000,doc_00016,NIST.CSWP.29.pdf,pdf,14.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00016_chunk_001,doc_00016,NIST.CSWP.29.pdf,pdf,14.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00016_chunk_002,doc_00016,NIST.CSWP.29.pdf,pdf,14.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00016_chunk_003,doc_00016,NIST.CSWP.29.pdf,pdf,14.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00017_chunk_000,doc_00017,NIST.CSWP.29.pdf,pdf,15.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00017_chunk_001,doc_00017,NIST.CSWP.29.pdf,pdf,15.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00017_chunk_002,doc_00017,NIST.CSWP.29.pdf,pdf,15.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00017_chunk_003,doc_00017,NIST.CSWP.29.pdf,pdf,15.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00017_chunk_004,doc_00017,NIST.CSWP.29.pdf,pdf,15.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00017_chunk_005,doc_00017,NIST.CSWP.29.pdf,pdf,15.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00018_chunk_000,doc_00018,NIST.CSWP.29.pdf,pdf,16.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00018_chunk_001,doc_00018,NIST.CSWP.29.pdf,pdf,16.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00018_chunk_002,doc_00018,NIST.CSWP.29.pdf,pdf,16.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00018_chunk_003,doc_00018,NIST.CSWP.29.pdf,pdf,16.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00019_chunk_000,doc_00019,NIST.CSWP.29.pdf,pdf,17.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00019_chunk_001,doc_00019,NIST.CSWP.29.pdf,pdf,17.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00019_chunk_002,doc_00019,NIST.CSWP.29.pdf,pdf,17.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00019_chunk_003,doc_00019,NIST.CSWP.29.pdf,pdf,17.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00019_chunk_004,doc_00019,NIST.CSWP.29.pdf,pdf,17.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00020_chunk_000,doc_00020,NIST.CSWP.29.pdf,pdf,18.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00020_chunk_001,doc_00020,NIST.CSWP.29.pdf,pdf,18.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
